aid,name,location
1,American Airlines Center,Dallas 
2,Amway Center,Orlando
3,AT&T Center,San Antonio
4,Ball Arena,Denver
5,Barclays Center,Brooklyn
6,Capital One Arena,"Washington, D.C"
7,Chase Center,San Francisco
8,Crypto.com Arena,Los Angeles
9,FedExForum,Memphis
10,Fiserv Forum,Milwaukee
11,Footprint Center,Phoenix
12,FTX Arena,Miami
13,Gainbridge Fieldhouse,Indianapolis
14,Golden 1 Center,Sacramento
15,Little Caesars Arena,Detroit
16,Madison Square Garden,New York
17,Moda Center,Portland
18,Paycom Center,Oklahoma City
19,Rocket Mortgage FieldHouse,Cleveland
20,Scotiabank Arena,Toronto
21,Smoothie King Center,New Orleans
22,Spectrum Center,Charlotte
23,State Farm Arena,Atlanta
24,Target Center,Minneapolis
25,TD Garden,Boston
26,Toyota Center,Houston
27,United Center,Chicago
28,Vivint Arena,Salt Lake City
29,Wells Fargo Center,Philadelphia
