pid,name,age,position,tid,efg
1,Deni Avdija,22,SF,30,0.46
2,Will Barton,32,SG,30,0.457
3,Bradley Beal,29,SG,30,0.567
4,Vernon Carey Jr.,21,C,30,0
5,Johnny Davis,20,SG,30,0.286
6,Daniel Gafford,24,C,30,0.733
7,Taj Gibson,37,PF,30,0.423
8,Anthony Gill,30,PF,30,0.595
9,Jordan Goodwin,24,PG,30,0.651
10,Rui Hachimura,24,PF,30,0.519
11,Corey Kispert,23,SF,30,0.707
12,Kyle Kuzma,27,PF,30,0.514
13,Monte Morris,27,PG,30,0.484
14,Kristaps Porzingis,27,PF,30,0.556
15,Jordan Schakel,24,SF,30,0.75
16,Isaiah Todd,21,PF,30,0.333
17,Delon Wright,30,PG,30,0.479
18,Ochai Agbaji,22,SG,29,0.421
19,Nickeil Alexander-Walker,24,SG,29,0.407
20,Udoka Azubuike,23,C,29,0.833
21,Malik Beasley,26,SG,29,0.598
22,Leandro Bolmaro,22,SG,29,0.286
23,Jordan Clarkson,30,SG,29,0.519
24,Mike Conley,35,PG,29,0.5
25,Simone Fontecchio,27,SF,29,0.536
26,Rudy Gay,36,SF,29,0.44
27,Talen Horton-Tucker,22,SG,29,0.447
28,Walker Kessler,21,C,29,0.673
29,Lauri Markkanen,25,SF,29,0.613
30,Kelly Olynyk,31,PF,29,0.622
31,Micah Potter,24,PF,29,1
32,Collin Sexton,24,SG,29,0.518
33,Jarred Vanderbilt,23,PF,29,0.605
34,Precious Achiuwa,23,C,28,0.418
35,OG Anunoby,25,SF,28,0.53
36,Dalano Banton,23,PG,28,0.5
37,Scottie Barnes,21,PF,28,0.489
38,Khem Birch,30,C,28,0.688
39,Chris Boucher,30,PF,28,0.583
40,Justin Champagnie,21,SF,28,1
41,Jeff Dowtin,25,PG,28,0.571
42,Malachi Flynn,24,PG,28,0.604
43,Ron Harper Jr.,22,SF,28,0
44,Juancho Hernangomez,27,PF,28,0.533
45,Christian Koloko,22,C,28,0.456
46,Otto Porter Jr.,29,SF,28,0.6
47,Pascal Siakam,28,C,28,0.518
48,Gary Trent Jr.,24,SG,28,0.495
49,Fred VanVleet,28,PG,28,0.487
50,Thaddeus Young,34,PF,28,0.57
51,Dominick Barlow,19,SF,27,0.5
52,Charles Bassey,22,C,27,0.636
53,Keita Bates-Diop,27,SF,27,0.568
54,Malaki Branham,19,SF,27,0.367
55,Zach Collins,25,PF,27,0.585
56,Gorgui Dieng,33,C,27,0.542
57,Jordan Hall,21,SF,27,0.333
58,Keldon Johnson,23,SF,27,0.55
59,Tre Jones,23,PG,27,0.441
60,Romeo Langford,23,SG,27,0.435
61,Doug McDermott,31,SF,27,0.575
62,Jakob Poeltl,27,C,27,0.642
63,Joshua Primo,20,SG,27,0.404
64,Josh Richardson,29,SG,27,0.504
65,Isaiah Roby,24,PF,27,0.5
66,Jeremy Sochan,19,PF,27,0.505
67,Devin Vassell,22,SG,27,0.567
68,Blake Wesley,19,SG,27,0.778
69,Harrison Barnes,30,PF,26,0.491
70,Terence Davis,25,SG,26,0.618
71,Matthew Dellavedova,32,PG,26,0.444
72,Keon Ellis,23,SG,26,0
73,De'Aaron Fox,25,PG,26,0.607
74,Richaun Holmes,29,PF,26,0.75
75,Kevin Huerter,24,SG,26,0.663
76,Alex Len,29,C,26,0.667
77,Trey Lyles,27,PF,26,0.528
78,Chimezie Metu,25,C,26,0.564
79,Davion Mitchell,24,PG,26,0.555
80,Chima Moneke,27,SF,26,0.5
81,Malik Monk,24,SG,26,0.554
82,Keegan Murray,22,SF,26,0.561
83,KZ Okpala,23,PF,26,0.417
84,Domantas Sabonis,26,PF,26,0.596
85,Greg Brown III,21,PF,25,0.714
86,John Butler,20,C,25,0.5
87,Drew Eubanks,25,C,25,0.714
88,Jerami Grant,28,PF,25,0.578
89,Josh Hart,27,SG,25,0.483
90,Keon Johnson,20,SG,25,0.444
91,Damian Lillard,32,PG,25,0.515
92,Nassir Little,22,PF,25,0.618
93,Jusuf Nurkic,28,C,25,0.548
94,Shaedon Sharpe,19,SG,25,0.615
95,Anfernee Simons,23,SG,25,0.523
96,Jabari Walker,20,SF,25,0.559
97,Trendon Watford,22,PF,25,0.476
98,Justise Winslow,26,SF,25,0.41
99,Deandre Ayton,24,C,24,0.579
100,Bismack Biyombo,30,C,24,0.556
101,Devin Booker,26,SG,24,0.536
102,Mikal Bridges,26,SF,24,0.609
