rid,name,yoe
1,James Capers,27
2,Tony Brothers,29
3,JB DeRosa,6
4,Marc Davis,24
5,Courtney Kirkland,24
6,Rodney Mott,28
7,Zach Zarba,20
8,Leon Wood,28
9,Pat Fraher,27
10,Scott Foster,29
11,Sean Wright,18
12,Curtis Blair,15
13,Eric Lewis,19
14,Sean Corbin,30
15,Josh Tiven,13
16,Michael Smith,30
17,Derek Richardson,28
18,John Goble,16
19,Bill Kennedy,28
20,Scott Wall,27
21,James Williams,13
22,Kevin Scott,13
23,Ed Malloy,21
24,Matt Boland,24
25,Ben Taylor,11
26,Tyler Ford,9
27,Eric Dalen,15
28,David Guthrie,18
29,J.T. Orr,13
30,Kevin Cutler,13
31,Brian Forte,17
32,Tre Maddox,13
33,Nick Buchert,13
34,Karl Lane,13
35,Justin Van Duyne,9
36,Mitchell Ervin,9
