sid,tid,name
1,2,Vistaprint 
2,3,Webull 
3,20,DraftKings
4,23,Crypto.com
5,28,Sun Life Financial
6,5,Zenni Optical
7,6,Cliffs 
8,9,Everstream
9,12,Motorola
10,17,Kohl’s
11,1,Sharecare
12,4,LendingTree 
13,16,Bacardi
14,22,Geico
15,30,Capital One
16,8,Western Union
17,18,Target 
18,21,Paycom 
19,25,Adidas
20,29,Qualtrics 
21,10,Rakuten 
22,13,Honey 
23,14,Bibigo 
24,24,Footprint 
25,26,Dialpad 
26,7,Chime 
27,11,BBVA
28,15,FanDuel
29,19,Ibotta 
30,27,Self Financial
31,10,Verizon
32,14,Beats By Dre
33,19,Clorox
34,13,State Farm
35,14,Beyong Meat
36,14,BioSteel
37,13,Subway
38,24,Fanatics
